EmployeeID,Name,Department,Age,Experience,Salary,PerformanceRating,RemoteWork
101,Employee_1,Marketing,41.0,9,75488.0,5,No
102,Employee_2,Operations,46.0,9,,2,Yes
103,Employee_3,Finance,43.0,10,114663.0,3,Yes
104,Employee_4,Operations,34.0,26,62431.0,2,No
105,Employee_5,Operations,40.0,25,101681.0,5,Yes
106,Employee_6,IT,57.0,26,103483.0,1,Yes
107,Employee_7,Finance,33.0,11,89153.0,1,No
108,Employee_8,Finance,40.0,2,46368.0,3,Yes
109,Employee_9,Finance,33.0,7,67424.0,4,No
110,Employee_10,Operations,30.0,18,85004.0,3,No
111,Employee_11,Marketing,28.0,27,123869.0,4,Yes
112,Employee_12,Finance,49.0,34,128652.0,2,No
113,Employee_13,Operations,35.0,27,96985.0,2,No
114,Employee_14,IT,52.0,17,90069.0,5,No
115,Employee_15,Marketing,40.0,24,92326.0,4,No
116,Employee_16,IT,37.0,25,148737.0,5,No
117,Employee_17,Marketing,26.0,7,121061.0,1,Yes
118,Employee_18,Operations,56.0,6,63398.0,4,Yes
119,Employee_19,HR,33.0,24,138393.0,3,No
120,Employee_20,Marketing,46.0,33,90861.0,1,No
121,Employee_21,IT,42.0,29,115897.0,1,Yes
122,Employee_22,Operations,57.0,22,121905.0,3,No
123,Employee_23,Marketing,44.0,26,108577.0,1,Yes
124,Employee_24,HR,37.0,28,105641.0,4,No
125,Employee_25,HR,35.0,21,49078.0,5,No
126,Employee_26,Finance,52.0,7,65003.0,1,No
127,Employee_27,Finance,26.0,17,102768.0,4,No
128,Employee_28,IT,56.0,20,91047.0,2,No
129,Employee_29,Marketing,44.0,20,111626.0,4,No
130,Employee_30,Marketing,50.0,22,97660.0,5,No
131,Employee_31,Finance,32.0,28,144386.0,4,Yes
132,Employee_32,Marketing,,7,89786.0,3,Yes
133,Employee_33,Marketing,33.0,1,41925.0,5,Yes
134,Employee_34,HR,30.0,32,123976.0,2,No
135,Employee_35,Finance,31.0,13,145221.0,3,No
136,Employee_36,Operations,38.0,30,66015.0,4,No
137,Employee_37,Finance,59.0,23,73320.0,5,No
138,Employee_38,Operations,28.0,19,104881.0,2,No
139,Employee_39,HR,34.0,32,130827.0,3,No
140,Employee_40,IT,30.0,30,142215.0,2,No
141,Employee_41,Marketing,48.0,29,66289.0,4,Yes
142,Employee_42,HR,23.0,29,43389.0,2,No
143,Employee_43,Marketing,26.0,30,65683.0,1,Yes
144,Employee_44,IT,50.0,16,53629.0,3,Yes
145,Employee_45,IT,58.0,19,101550.0,2,No
146,Employee_46,HR,59.0,18,64826.0,4,No
147,Employee_47,IT,40.0,1,140734.0,4,Yes
148,Employee_48,Operations,,14,66630.0,2,Yes
149,Employee_49,IT,22.0,2,138762.0,4,No
150,Employee_50,Marketing,43.0,28,86163.0,5,No
151,Employee_51,Marketing,38.0,30,138511.0,5,Yes
152,Employee_52,Marketing,28.0,4,106435.0,5,No
153,Employee_53,Marketing,46.0,1,51653.0,1,No
154,Employee_54,Operations,25.0,8,67961.0,2,No
155,Employee_55,Finance,57.0,29,121941.0,1,Yes
156,Employee_56,HR,27.0,3,114137.0,4,Yes
157,Employee_57,Marketing,52.0,32,73662.0,1,Yes
158,Employee_58,IT,40.0,10,138818.0,4,No
159,Employee_59,Marketing,48.0,10,96446.0,4,No
160,Employee_60,IT,31.0,19,61288.0,3,Yes
161,Employee_61,IT,47.0,34,135081.0,5,Yes
162,Employee_62,Marketing,40.0,33,76877.0,4,Yes
163,Employee_63,Operations,24.0,23,55313.0,3,No
164,Employee_64,IT,34.0,28,120885.0,5,Yes
165,Employee_65,IT,49.0,32,112715.0,4,Yes
166,Employee_66,Marketing,41.0,7,,4,No
167,Employee_67,IT,,29,41560.0,1,No
168,Employee_68,IT,,8,119148.0,1,No
169,Employee_69,Marketing,22.0,1,123186.0,5,Yes
170,Employee_70,Marketing,24.0,3,66745.0,4,No
171,Employee_71,HR,34.0,24,71890.0,2,No
172,Employee_72,Operations,49.0,23,60022.0,1,Yes
173,Employee_73,Operations,46.0,8,92579.0,5,No
174,Employee_74,IT,54.0,3,110316.0,4,Yes
175,Employee_75,Operations,59.0,33,123847.0,4,Yes
176,Employee_76,IT,27.0,28,68380.0,2,No
177,Employee_77,HR,53.0,8,42356.0,5,No
178,Employee_78,Marketing,42.0,34,110326.0,4,No
179,Employee_79,Marketing,37.0,32,132447.0,1,No
180,Employee_80,Marketing,42.0,24,129899.0,2,No
181,Employee_81,Operations,32.0,14,60049.0,5,No
182,Employee_82,HR,58.0,32,115717.0,2,Yes
183,Employee_83,Operations,57.0,16,145361.0,1,Yes
184,Employee_84,Operations,56.0,4,56082.0,5,No
185,Employee_85,HR,40.0,21,40661.0,2,Yes
186,Employee_86,HR,41.0,14,77412.0,3,No
187,Employee_87,HR,39.0,31,42920.0,1,Yes
188,Employee_88,HR,35.0,18,131194.0,1,Yes
189,Employee_89,Marketing,36.0,7,100315.0,1,Yes
190,Employee_90,Finance,52.0,10,,3,No
191,Employee_91,Finance,,7,48946.0,3,Yes
192,Employee_92,HR,24.0,33,134242.0,4,No
193,Employee_93,Finance,37.0,23,85500.0,2,Yes
194,Employee_94,Finance,44.0,21,144540.0,4,Yes
195,Employee_95,HR,32.0,19,56309.0,2,Yes
196,Employee_96,Finance,33.0,19,95230.0,3,Yes
197,Employee_97,Operations,31.0,29,138656.0,3,Yes
198,Employee_98,IT,53.0,18,70027.0,4,No
199,Employee_99,IT,37.0,2,112541.0,5,No
200,Employee_100,HR,29.0,1,99321.0,4,Yes
201,Employee_101,Marketing,59.0,5,40956.0,2,Yes
202,Employee_102,HR,33.0,20,140375.0,4,Yes
203,Employee_103,Marketing,45.0,11,114131.0,1,Yes
204,Employee_104,IT,49.0,2,87908.0,2,No
205,Employee_105,HR,29.0,3,118339.0,2,Yes
206,Employee_106,Operations,49.0,23,65963.0,5,No
207,Employee_107,Finance,57.0,12,141757.0,3,Yes
208,Employee_108,Marketing,47.0,20,79443.0,2,No
209,Employee_109,Finance,29.0,5,139259.0,3,Yes
210,Employee_110,Finance,49.0,30,79063.0,4,Yes
211,Employee_111,HR,49.0,9,120818.0,1,No
212,Employee_112,Finance,58.0,34,44703.0,5,Yes
213,Employee_113,Operations,57.0,22,105128.0,3,Yes
214,Employee_114,Finance,48.0,24,112099.0,2,Yes
215,Employee_115,HR,38.0,17,65849.0,3,No
216,Employee_116,Operations,30.0,10,71860.0,2,Yes
217,Employee_117,IT,54.0,30,71585.0,3,Yes
218,Employee_118,Finance,41.0,23,62015.0,2,No
219,Employee_119,HR,34.0,32,117539.0,4,No
220,Employee_120,IT,,17,83585.0,2,No
221,Employee_121,IT,50.0,17,66958.0,2,Yes
222,Employee_122,Marketing,34.0,14,66017.0,1,Yes
223,Employee_123,Operations,56.0,9,116707.0,2,Yes
224,Employee_124,Finance,27.0,2,85350.0,1,No
225,Employee_125,HR,39.0,25,52201.0,5,Yes
226,Employee_126,Marketing,26.0,9,69426.0,1,Yes
227,Employee_127,Operations,46.0,22,57778.0,4,No
228,Employee_128,Marketing,23.0,4,85241.0,1,No
229,Employee_129,Operations,31.0,26,82229.0,5,No
230,Employee_130,Operations,51.0,29,,4,No
231,Employee_131,Finance,26.0,34,88364.0,3,No
232,Employee_132,Operations,54.0,23,,3,Yes
233,Employee_133,Marketing,22.0,11,124878.0,1,No
234,Employee_134,Operations,39.0,6,97056.0,1,Yes
235,Employee_135,Finance,53.0,18,67490.0,5,Yes
236,Employee_136,Finance,32.0,21,59975.0,5,No
237,Employee_137,Marketing,42.0,34,66723.0,2,No
238,Employee_138,IT,47.0,17,63279.0,5,No
239,Employee_139,IT,46.0,25,118301.0,2,Yes
240,Employee_140,Operations,43.0,12,51561.0,4,No
241,Employee_141,HR,48.0,23,147435.0,1,No
242,Employee_142,Operations,34.0,22,106061.0,4,No
243,Employee_143,Marketing,54.0,21,128397.0,5,No
244,Employee_144,Marketing,55.0,27,89153.0,4,No
245,Employee_145,Marketing,56.0,31,73142.0,4,Yes
246,Employee_146,Marketing,22.0,6,66916.0,4,Yes
247,Employee_147,Marketing,42.0,27,104324.0,5,Yes
248,Employee_148,Finance,27.0,34,84965.0,4,No
249,Employee_149,IT,49.0,12,44648.0,2,No
250,Employee_150,Marketing,38.0,7,75133.0,5,No
251,Employee_151,HR,26.0,10,90677.0,4,Yes
252,Employee_152,HR,52.0,17,136059.0,5,No
253,Employee_153,HR,26.0,26,134588.0,3,No
254,Employee_154,HR,59.0,21,139950.0,2,No
255,Employee_155,Finance,24.0,28,138317.0,4,Yes
256,Employee_156,HR,44.0,2,110135.0,3,No
257,Employee_157,Marketing,58.0,1,75046.0,3,Yes
258,Employee_158,Operations,58.0,26,87064.0,5,No
259,Employee_159,HR,31.0,29,141459.0,3,Yes
260,Employee_160,Finance,31.0,21,146625.0,2,Yes
261,Employee_161,Finance,40.0,11,109350.0,2,Yes
262,Employee_162,HR,38.0,11,,1,No
263,Employee_163,Operations,42.0,34,141520.0,2,No
264,Employee_164,HR,35.0,24,101272.0,3,Yes
265,Employee_165,Finance,30.0,22,132152.0,2,Yes
266,Employee_166,IT,22.0,5,107649.0,5,No
267,Employee_167,Marketing,34.0,33,104674.0,1,No
268,Employee_168,Finance,25.0,20,148542.0,3,Yes
269,Employee_169,HR,,19,53760.0,1,No
270,Employee_170,Marketing,53.0,17,61927.0,3,No
271,Employee_171,HR,55.0,34,126475.0,5,No
272,Employee_172,HR,49.0,9,101367.0,1,No
273,Employee_173,IT,52.0,26,137955.0,4,Yes
274,Employee_174,Marketing,29.0,2,52588.0,3,No
275,Employee_175,Marketing,47.0,9,141678.0,4,No
276,Employee_176,IT,55.0,9,144734.0,1,Yes
277,Employee_177,Finance,24.0,17,,4,Yes
278,Employee_178,HR,33.0,1,84738.0,4,No
279,Employee_179,Operations,22.0,25,73397.0,1,No
280,Employee_180,HR,26.0,25,122189.0,5,No
281,Employee_181,HR,51.0,3,116367.0,4,No
282,Employee_182,Finance,51.0,30,111260.0,4,Yes
283,Employee_183,HR,38.0,34,116619.0,5,Yes
284,Employee_184,IT,44.0,12,59816.0,4,Yes
285,Employee_185,IT,36.0,19,82240.0,4,No
286,Employee_186,Marketing,58.0,17,46276.0,4,No
287,Employee_187,Operations,42.0,10,144199.0,2,No
288,Employee_188,HR,35.0,12,119530.0,5,No
289,Employee_189,HR,23.0,16,63499.0,4,Yes
290,Employee_190,Finance,32.0,24,128576.0,5,Yes
